Start Date,End Date,Event Name,Start Time,End Time,Venue,Day,Price ($),Event Description,RVSP Link,Partner,Webpage Link,Image
2014-08-22,,GA Community Happy Hour,6:30pm - 8:30pm,,,Friday,Free,,,,,
2014-08-29,,GA Community Happy Hour,6:30pm - 8:30pm,,,Friday,Free,,,,,
2014-09-05,,GA Community Happy Hour,6:30pm - 8:30pm,,,Friday,Free,,,,,
2014-09-09,,Young Female Entrepreneurs Meeting,7:00pm - 9:00pm,,,Tuesday,Free,,,,,
2014-09-16,,GA Community Happy Hour,6:30pm - 8:30pm,,,Friday,Free,,,,,
2014-09-19,,TribeTalks Series - Culture Event,5:00pm - 8:30pm,,,Friday,N/A,,,,,
2014-09-26,,GA Community Happy Hour,6:30pm - 8:30pm,,,Friday,Free,,,,,
2014-09-28,,Type Ed - Workshop,2:00pm - 7:00pm,,,Sunday,Free,,,,,
2014-10-11,,Tribemint Culture Workshop,9:00am - 12:00pm,,,Saturday,N/A,,,,,
2014-12-05,,TribeTalks Series - Engagement Event,5:00pm - 8:30pm,,,Friday,N/A,,,,,
2014-12-13,,Tribemint Engagement Workshop,9:00am - 12:00pm,,,Saturday,N/A,,,,,
